sample	prj	mixNum	round	nCtg	cov	signal
38	SARS-Cov-2	5	1	2514	99.8796	1.5898
69	SARS-Cov-2	5	1	1742	99.8997	4.0321
39	SARS-Cov-2	5	1	163	99.9532	30.4654
5	SARS-Cov-2	5	1	9040	95.2413	0.5185
51	SARS-Cov-2	5	1	414	95.2145	18.0848
68	SARS-Cov-2	5	1	520	99.8529	15.6835
32	SARS-Cov-2	5	1	285	99.7960	25.4784
20	SARS-Cov-2	5	1	1016	99.8228	7.9723
55	SARS-Cov-2	5	1	402	99.5051	19.1151
14	SARS-Cov-2	5	1	992	99.3011	7.3461
11	SARS-Cov-2	5	1	1138	99.7091	4.6170
1	SARS-Cov-2	5	1	1087	99.8294	7.1542
66	SARS-Cov-2	5	1	1489	99.7057	5.9035
80	SARS-Cov-2	5	1	392	94.7898	15.6814
15	SARS-Cov-2	5	1	8974	99.9131	0.5217
54	SARS-Cov-2	5	1	2181	99.8595	3.0595
97	SARS-Cov-2	5	1	2651	99.6957	2.8517
47	SARS-Cov-2	5	1	1235	99.8060	4.4717
77	SARS-Cov-2	5	1	712	65.4784	8.3838
36	SARS-Cov-2	5	1	1999	99.8729	4.7976
Mix61	SARS-Cov-2	5	2	20	99.5552	81.6005
Mix63	SARS-Cov-2	5	2	258	99.7492	16.9120
Mix46	SARS-Cov-2	5	2	62	99.7091	43.4210
Mix47	SARS-Cov-2	5	2	111	99.8060	42.9892
Mix68	SARS-Cov-2	5	2	426	99.8529	19.0490
Mix40	SARS-Cov-2	5	2	50	99.8796	69.7839
Mix65	SARS-Cov-2	5	2	132	99.7157	43.6764
Mix3	SARS-Cov-2	5	2	164	99.9064	30.2673
Mix16	SARS-Cov-2	5	2	187	97.9969	35.9582
Mix17	SARS-Cov-2	5	2	54	99.2275	71.9492
Mix50	SARS-Cov-2	5	2	136	99.7224	37.8239
Mix57	SARS-Cov-2	5	2	25	99.9030	80.0483
Mix56	SARS-Cov-2	5	2	237	93.3217	27.1416
Mix7	SARS-Cov-2	5	2	75	99.8763	56.4209
Mix10	SARS-Cov-2	5	2	110	99.7091	39.4210
Mix98	SARS-Cov-2	5	2	216	99.7960	31.3649
Mix22	SARS-Cov-2	5	2	175	99.7358	38.9537
Mix88	SARS-Cov-2	5	2	73	99.5920	49.9169
Mix95	SARS-Cov-2	5	2	111	99.7124	36.5798
Mix85	SARS-Cov-2	5	2	436	99.6923	18.7543
Mix74	SARS-Cov-2	5	2	20	99.8729	71.2401
Mix81	SARS-Cov-2	5	2	89	99.9264	53.4843
Mix91	SARS-Cov-2	5	2	229	94.6126	32.9652
Mix34	SARS-Cov-2	5	2	13	99.8796	85.0043
Mix39	SARS-Cov-2	5	2	65	99.9532	49.3019
Mix93	SARS-Cov-2	5	2	62	99.7826	61.8340
Mix79	SARS-Cov-2	5	2	8	99.8930	91.5674
Mix83	SARS-Cov-2	5	2	42	99.8261	67.6029
Mix6	SARS-Cov-2	5	2	60	99.6957	57.2140
Mix35	SARS-Cov-2	5	2	225	99.9064	31.7471
Mix78	SARS-Cov-2	5	2	90	99.9030	52.3389
Mix38	SARS-Cov-2	5	2	63	99.8796	55.9002
Mix75	SARS-Cov-2	5	2	31	99.7124	77.3837
Mix12	SARS-Cov-2	5	2	166	99.7726	39.3774
Mix33	SARS-Cov-2	5	2	30	99.9131	74.5218
Mix52	SARS-Cov-2	5	2	118	15.9349	11.6201
Mix89	SARS-Cov-2	5	2	41	99.6522	70.3694
Mix73	SARS-Cov-2	5	2	54	99.8562	67.5491
Mix99	SARS-Cov-2	5	2	179	99.8930	13.1484
Mix31	SARS-Cov-2	5	2	37	99.7358	73.6823
Mix94	SARS-Cov-2	5	2	34	74.7517	63.8037
Mix42	SARS-Cov-2	5	2	45	98.7225	72.9658
Mix84	SARS-Cov-2	5	2	18	99.7358	68.7213
Mix69	SARS-Cov-2	5	2	156	99.8997	31.4796
Mix64	SARS-Cov-2	5	2	153	62.6091	22.4413
Mix26	SARS-Cov-2	5	2	152	99.8495	29.9671
Mix27	SARS-Cov-2	5	2	28	99.6990	68.1999
Mix20	SARS-Cov-2	5	2	50	99.8228	67.3204
Mix8	SARS-Cov-2	5	2	24	99.7224	65.4413
Mix9	SARS-Cov-2	5	2	27	99.7258	78.7101
Mix55	SARS-Cov-2	5	2	129	99.5051	42.8559
Mix18	SARS-Cov-2	5	2	94	99.8328	51.2020
Mix29	SARS-Cov-2	5	2	111	99.8395	48.7932
Mix15	SARS-Cov-2	5	2	33	99.9131	76.3658
Mix58	SARS-Cov-2	5	2	72	99.7091	61.2161
Mix66	SARS-Cov-2	5	2	235	99.7057	30.7174
Mix48	SARS-Cov-2	5	2	186	99.7091	34.0520
Mix24	SARS-Cov-2	5	2	182	99.8729	35.8491
Mix45	SARS-Cov-2	5	2	109	99.8428	34.7976
Mix60	SARS-Cov-2	5	2	38	99.7191	19.0055
Mix51	SARS-Cov-2	5	2	106	51.1989	35.7043
Mix43	SARS-Cov-2	5	2	216	99.7592	32.4223
Mix11	SARS-Cov-2	5	2	18	99.7091	85.1864
Mix72	SARS-Cov-2	5	2	116	23.6431	20.2569
Mix53	SARS-Cov-2	5	2	43	85.6235	71.9882
Mix41	SARS-Cov-2	5	2	224	99.4482	7.2131
Mix32	SARS-Cov-2	5	2	172	99.7960	37.6219
Mix13	SARS-Cov-2	5	2	80	99.8428	55.7416
Mix2	SARS-Cov-2	5	2	93	99.7392	45.3702
Mix97	SARS-Cov-2	5	2	84	99.6957	44.5123
Mix96	SARS-Cov-2	5	2	36	99.7091	69.9594
Mix87	SARS-Cov-2	5	2	70	99.7392	24.6541
Mix86	SARS-Cov-2	5	2	105	99.6054	42.4276
Mix100	SARS-Cov-2	5	2	154	99.8562	38.5060
Mix90	SARS-Cov-2	5	2	13	99.8696	75.6798
Mix80	SARS-Cov-2	5	2	150	71.7654	29.4209
Mix62	SARS-Cov-2	5	2	76	98.2410	54.6038
Mix76	SARS-Cov-2	5	2	250	99.7358	31.2791
Mix77	SARS-Cov-2	5	2	25	5.8088	17.3864
Mix30	SARS-Cov-2	5	2	47	99.7191	41.8875
Mix5	SARS-Cov-2	5	2	74	77.6210	21.7587
Mix1	SARS-Cov-2	5	2	68	99.8294	57.4170
Mix36	SARS-Cov-2	5	2	115	99.8729	50.0823
Mix70	SARS-Cov-2	5	2	80	96.8231	53.7409
Mix37	SARS-Cov-2	5	2	80	99.7224	50.8717
Mix4	SARS-Cov-2	5	2	36	99.7157	71.2675
Mix21	SARS-Cov-2	5	2	43	99.7358	59.7907
Mix23	SARS-Cov-2	5	2	59	99.8662	65.1613
Mix92	SARS-Cov-2	5	2	338	99.8562	20.9239
Mix44	SARS-Cov-2	5	2	75	99.7124	60.1342
Mix28	SARS-Cov-2	5	2	59	99.8796	62.7243
Mix82	SARS-Cov-2	5	2	93	99.8729	51.0219
Mix59	SARS-Cov-2	5	2	145	99.7258	32.5205
Mix19	SARS-Cov-2	5	2	33	99.7492	65.5514
Mix14	SARS-Cov-2	5	2	67	99.3011	63.1671
Mix54	SARS-Cov-2	5	2	22	99.8595	62.0149
Mix49	SARS-Cov-2	5	2	88	99.8094	41.9613
Mix96	SARS-Cov-2	5	3	4	99.7091	99.7994
Mix85	SARS-Cov-2	5	3	2	99.6923	99.8155
Mix64	SARS-Cov-2	5	3	13	62.6091	98.9110
Mix14	SARS-Cov-2	5	3	3	99.3011	99.0409
Mix39	SARS-Cov-2	5	3	1	99.9532	99.6760
Mix80	SARS-Cov-2	5	3	15	71.7654	99.5641
Mix41	SARS-Cov-2	5	3	3	99.4482	100.0000
Mix38	SARS-Cov-2	5	3	1	99.8796	99.9464
Mix73	SARS-Cov-2	5	3	1	99.8562	99.8626
Mix51	SARS-Cov-2	5	3	11	51.1989	99.8565
Mix5	SARS-Cov-2	5	3	24	77.6210	94.4586
Mix4	SARS-Cov-2	5	3	1	99.7157	100.0000
Mix10	SARS-Cov-2	5	3	1	99.7091	100.0000
Mix98	SARS-Cov-2	5	3	1	99.7960	99.9966
Mix60	SARS-Cov-2	5	3	1	99.7191	100.0000
Mix2	SARS-Cov-2	5	3	2	99.7392	99.8458
Mix53	SARS-Cov-2	5	3	13	85.6235	99.9922
Mix15	SARS-Cov-2	5	3	2	99.9131	99.6361
Mix36	SARS-Cov-2	5	3	1	99.8729	99.8894
Mix43	SARS-Cov-2	5	3	2	99.7592	99.9094
Mix65	SARS-Cov-2	5	3	1	99.7157	99.8256
Mix84	SARS-Cov-2	5	3	1	99.7358	99.9362
Mix99	SARS-Cov-2	5	3	2	99.8930	99.8026
Mix7	SARS-Cov-2	5	3	1	99.8763	99.8593
Mix21	SARS-Cov-2	5	3	1	99.7358	99.7955
Mix88	SARS-Cov-2	5	3	2	99.5920	99.9966
Mix30	SARS-Cov-2	5	3	1	99.7191	100.0000
Mix66	SARS-Cov-2	5	3	1	99.7057	99.7887
Mix100	SARS-Cov-2	5	3	1	99.8562	99.8827
Mix94	SARS-Cov-2	5	3	11	74.7517	99.8392
Mix89	SARS-Cov-2	5	3	2	99.6522	99.8055
Mix57	SARS-Cov-2	5	3	1	99.9030	99.8861
Mix52	SARS-Cov-2	5	3	7	15.9349	99.7488
Mix47	SARS-Cov-2	5	3	1	99.8060	99.9966
Mix16	SARS-Cov-2	5	3	5	97.9969	99.9283
Mix35	SARS-Cov-2	5	3	2	99.9064	99.9097
Mix42	SARS-Cov-2	5	3	8	98.7225	99.9864
Mix34	SARS-Cov-2	5	3	1	99.8796	99.9464
Mix19	SARS-Cov-2	5	3	2	99.7492	100.0000
Mix95	SARS-Cov-2	5	3	1	99.7124	100.0000
Mix69	SARS-Cov-2	5	3	16	99.8997	86.9618
Mix86	SARS-Cov-2	5	3	2	99.6054	99.1198
Mix22	SARS-Cov-2	5	3	1	99.7358	99.7955
Mix27	SARS-Cov-2	5	3	1	99.6990	100.0000
Mix68	SARS-Cov-2	5	3	2	99.8529	99.9966
Mix18	SARS-Cov-2	5	3	1	99.8328	99.9430
Mix77	SARS-Cov-2	5	3	3	5.8088	99.9416
Mix90	SARS-Cov-2	5	3	1	99.8696	99.8560
Mix72	SARS-Cov-2	5	3	17	23.6431	99.4078
Mix75	SARS-Cov-2	5	3	1	99.7124	100.0000
Mix11	SARS-Cov-2	5	3	2	99.7091	99.8793
Mix6	SARS-Cov-2	5	3	1	99.6957	100.0000
Mix61	SARS-Cov-2	5	3	1	99.5552	99.9294
Mix1	SARS-Cov-2	5	3	1	99.8294	99.9363
Mix83	SARS-Cov-2	5	3	1	99.8261	100.0000
Mix97	SARS-Cov-2	5	3	1	99.6957	99.9127
Mix70	SARS-Cov-2	5	3	4	96.8231	99.9136
Mix92	SARS-Cov-2	5	3	1	99.8562	99.9396
Mix54	SARS-Cov-2	5	3	1	99.8595	99.8593
Mix20	SARS-Cov-2	5	3	2	99.8228	99.7222
Mix44	SARS-Cov-2	5	3	1	99.7124	99.9966
Mix45	SARS-Cov-2	5	3	2	99.8428	99.1813
Mix13	SARS-Cov-2	5	3	2	99.8428	99.7523
Mix32	SARS-Cov-2	5	3	2	99.7960	99.2701
Mix37	SARS-Cov-2	5	3	1	99.7224	100.0000
Mix55	SARS-Cov-2	5	3	5	99.5051	99.2788
Mix63	SARS-Cov-2	5	3	1	99.7492	99.9362
Mix50	SARS-Cov-2	5	3	1	99.7224	100.0000
Mix24	SARS-Cov-2	5	3	1	99.8729	99.8760
Mix40	SARS-Cov-2	5	3	1	99.8796	99.9464
Mix81	SARS-Cov-2	5	3	1	99.9264	99.7425
Mix8	SARS-Cov-2	5	3	1	99.7224	100.0000
Mix74	SARS-Cov-2	5	3	1	99.8729	99.7991
Mix28	SARS-Cov-2	5	3	1	99.8796	99.9464
Mix62	SARS-Cov-2	5	3	7	98.2410	99.8674
Mix46	SARS-Cov-2	5	3	1	99.7091	100.0000
Mix33	SARS-Cov-2	5	3	4	99.9131	97.3162
Mix12	SARS-Cov-2	5	3	1	99.7726	100.0000
Mix17	SARS-Cov-2	5	3	14	99.2275	99.8555
Mix56	SARS-Cov-2	5	3	20	93.3217	98.6767
Mix78	SARS-Cov-2	5	3	1	99.9030	100.0000
Mix79	SARS-Cov-2	5	3	1	99.8930	99.8995
Mix9	SARS-Cov-2	5	3	1	99.7258	100.0000
Mix91	SARS-Cov-2	5	3	20	94.6126	100.0000
Mix29	SARS-Cov-2	5	3	1	99.8395	100.0000
Mix3	SARS-Cov-2	5	3	14	99.9064	86.6820
Mix26	SARS-Cov-2	5	3	1	99.8495	99.8660
Mix76	SARS-Cov-2	5	3	1	99.7358	99.7955
Mix58	SARS-Cov-2	5	3	1	99.7091	99.9933
Mix31	SARS-Cov-2	5	3	2	99.7358	99.9363
Mix48	SARS-Cov-2	5	3	1	99.7091	100.0000
Mix49	SARS-Cov-2	5	3	1	99.8094	99.9161
Mix59	SARS-Cov-2	5	3	1	99.7258	100.0000
Mix87	SARS-Cov-2	5	3	2	99.7392	99.8458
Mix82	SARS-Cov-2	5	3	2	99.8729	99.9230
