prj	outbreak1	outbreak2	a	b	jd
Admed_SARS2_2020	rand.6	rand.21	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.23	0	10	0
Admed_SARS2_2020	rand.6	rand.30	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.60	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.89	0	10	0
Admed_SARS2_2020	rand.6	rand.88	0	10	0
Admed_SARS2_2020	rand.6	rand.9	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.84	0	10	0
Admed_SARS2_2020	rand.6	rand.25	0	10	0
Admed_SARS2_2020	rand.6	rand.27	0	10	0
Admed_SARS2_2020	rand.6	rand.22	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.59	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.58	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.7	0	10	0
Admed_SARS2_2020	rand.6	rand.54	0	10	0
Admed_SARS2_2020	rand.6	rand.4	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.10	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.86	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.12	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.94	0	10	0
Admed_SARS2_2020	rand.6	rand.17	0	10	0
Admed_SARS2_2020	rand.6	rand.99	2	8	0.25
Admed_SARS2_2020	rand.6	rand.98	0	10	0
Admed_SARS2_2020	rand.6	rand.8	0	10	0
Admed_SARS2_2020	rand.6	rand.15	0	10	0
Admed_SARS2_2020	rand.6	rand.46	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.11	0	10	0
Admed_SARS2_2020	rand.6	rand.13	2	8	0.25
Admed_SARS2_2020	rand.6	rand.100	0	10	0
Admed_SARS2_2020	rand.6	rand.76	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.63	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.61	0	10	0
Admed_SARS2_2020	rand.6	rand.49	0	10	0
Admed_SARS2_2020	rand.6	rand.20	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.48	0	10	0
Admed_SARS2_2020	rand.6	rand.33	0	10	0
Admed_SARS2_2020	rand.6	rand.31	0	10	0
Admed_SARS2_2020	rand.6	rand.44	0	10	0
Admed_SARS2_2020	rand.6	rand.65	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.32	0	10	0
Admed_SARS2_2020	rand.6	rand.67	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.62	0	10	0
Admed_SARS2_2020	rand.6	rand.37	2	8	0.25
Admed_SARS2_2020	rand.6	rand.96	0	10	0
Admed_SARS2_2020	rand.6	rand.35	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.78	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.79	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.74	0	10	0
Admed_SARS2_2020	rand.6	rand.5	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.73	0	10	0
Admed_SARS2_2020	rand.6	rand.71	0	10	0
Admed_SARS2_2020	rand.6	rand.77	0	10	0
Admed_SARS2_2020	rand.6	rand.75	0	10	0
Admed_SARS2_2020	rand.6	rand.72	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.64	0	10	0
Admed_SARS2_2020	rand.6	rand.69	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.80	0	10	0
Admed_SARS2_2020	rand.6	rand.68	0	10	0
Admed_SARS2_2020	rand.6	rand.39	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.16	0	10	0
Admed_SARS2_2020	rand.6	rand.38	0	10	0
Admed_SARS2_2020	rand.6	rand.41	0	10	0
Admed_SARS2_2020	rand.6	rand.43	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.34	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.42	2	8	0.25
Admed_SARS2_2020	rand.6	rand.47	0	10	0
Admed_SARS2_2020	rand.6	rand.45	0	10	0
Admed_SARS2_2020	rand.6	rand.50	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.2	0	10	0
Admed_SARS2_2020	rand.6	rand.93	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.91	2	8	0.25
Admed_SARS2_2020	rand.6	rand.92	0	10	0
Admed_SARS2_2020	rand.6	rand.66	0	10	0
Admed_SARS2_2020	rand.6	rand.36	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.19	1	9	0.111111111111111
Admed_SARS2_2020	rand.6	rand.18	0	10	0
Admed_SARS2_2020	rand.6	rand.95	0	10	0
Admed_SARS2_2020	rand.6	rand.97	0	10	0
Admed_SARS2_2020	rand.6	rand.14	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.26	0	10	0
Admed_SARS2_2020	rand.3	rand.53	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.51	2	8	0.25
Admed_SARS2_2020	rand.3	rand.57	2	8	0.25
Admed_SARS2_2020	rand.3	rand.55	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.52	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.24	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.28	0	10	0
Admed_SARS2_2020	rand.3	rand.40	0	10	0
Admed_SARS2_2020	rand.3	rand.29	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.83	0	10	0
Admed_SARS2_2020	rand.3	rand.81	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.82	0	10	0
Admed_SARS2_2020	rand.3	rand.87	0	10	0
Admed_SARS2_2020	rand.3	rand.85	0	10	0
Admed_SARS2_2020	rand.3	rand.1	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.70	0	10	0
Admed_SARS2_2020	rand.3	rand.56	0	10	0
Admed_SARS2_2020	rand.3	rand.21	0	10	0
Admed_SARS2_2020	rand.3	rand.23	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.30	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.60	0	10	0
Admed_SARS2_2020	rand.3	rand.89	0	10	0
Admed_SARS2_2020	rand.3	rand.88	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.9	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.84	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.25	0	10	0
Admed_SARS2_2020	rand.3	rand.27	2	8	0.25
Admed_SARS2_2020	rand.3	rand.22	0	10	0
Admed_SARS2_2020	rand.3	rand.59	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.58	0	10	0
Admed_SARS2_2020	rand.3	rand.7	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.54	0	10	0
Admed_SARS2_2020	rand.3	rand.4	0	10	0
Admed_SARS2_2020	rand.3	rand.10	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.86	0	10	0
Admed_SARS2_2020	rand.3	rand.12	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.94	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.17	2	8	0.25
Admed_SARS2_2020	rand.3	rand.99	0	10	0
Admed_SARS2_2020	rand.3	rand.98	0	10	0
Admed_SARS2_2020	rand.3	rand.8	2	8	0.25
Admed_SARS2_2020	rand.3	rand.15	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.46	0	10	0
Admed_SARS2_2020	rand.3	rand.11	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.13	0	10	0
Admed_SARS2_2020	rand.3	rand.100	0	10	0
Admed_SARS2_2020	rand.3	rand.76	0	10	0
Admed_SARS2_2020	rand.3	rand.63	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.61	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.49	0	10	0
Admed_SARS2_2020	rand.3	rand.20	0	10	0
Admed_SARS2_2020	rand.3	rand.48	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.33	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.31	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.44	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.65	0	10	0
Admed_SARS2_2020	rand.3	rand.32	0	10	0
Admed_SARS2_2020	rand.3	rand.67	0	10	0
Admed_SARS2_2020	rand.3	rand.62	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.37	2	8	0.25
Admed_SARS2_2020	rand.3	rand.96	0	10	0
Admed_SARS2_2020	rand.3	rand.35	0	10	0
Admed_SARS2_2020	rand.3	rand.78	0	10	0
Admed_SARS2_2020	rand.3	rand.79	0	10	0
Admed_SARS2_2020	rand.3	rand.74	0	10	0
Admed_SARS2_2020	rand.3	rand.5	0	10	0
Admed_SARS2_2020	rand.3	rand.73	0	10	0
Admed_SARS2_2020	rand.3	rand.71	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.77	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.75	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.72	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.64	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.69	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.80	0	10	0
Admed_SARS2_2020	rand.3	rand.68	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.39	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.16	0	10	0
Admed_SARS2_2020	rand.3	rand.38	2	8	0.25
Admed_SARS2_2020	rand.3	rand.41	2	8	0.25
Admed_SARS2_2020	rand.3	rand.43	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.34	0	10	0
Admed_SARS2_2020	rand.3	rand.42	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.47	0	10	0
Admed_SARS2_2020	rand.3	rand.45	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.50	0	10	0
Admed_SARS2_2020	rand.3	rand.2	0	10	0
Admed_SARS2_2020	rand.3	rand.93	0	10	0
Admed_SARS2_2020	rand.3	rand.91	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.92	0	10	0
Admed_SARS2_2020	rand.3	rand.66	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.36	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.19	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.18	0	10	0
Admed_SARS2_2020	rand.3	rand.95	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.97	1	9	0.111111111111111
Admed_SARS2_2020	rand.3	rand.14	0	10	0
Admed_SARS2_2020	rand.26	rand.53	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.51	0	10	0
Admed_SARS2_2020	rand.26	rand.57	0	10	0
Admed_SARS2_2020	rand.26	rand.55	0	10	0
Admed_SARS2_2020	rand.26	rand.52	0	10	0
Admed_SARS2_2020	rand.26	rand.24	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.28	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.40	0	10	0
Admed_SARS2_2020	rand.26	rand.29	0	10	0
Admed_SARS2_2020	rand.26	rand.83	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.81	0	10	0
Admed_SARS2_2020	rand.26	rand.82	0	10	0
Admed_SARS2_2020	rand.26	rand.87	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.85	0	10	0
Admed_SARS2_2020	rand.26	rand.1	0	10	0
Admed_SARS2_2020	rand.26	rand.70	0	10	0
Admed_SARS2_2020	rand.26	rand.56	0	10	0
Admed_SARS2_2020	rand.26	rand.21	0	10	0
Admed_SARS2_2020	rand.26	rand.23	2	8	0.25
Admed_SARS2_2020	rand.26	rand.30	0	10	0
Admed_SARS2_2020	rand.26	rand.60	0	10	0
Admed_SARS2_2020	rand.26	rand.89	0	10	0
Admed_SARS2_2020	rand.26	rand.88	2	8	0.25
Admed_SARS2_2020	rand.26	rand.9	0	10	0
Admed_SARS2_2020	rand.26	rand.84	0	10	0
Admed_SARS2_2020	rand.26	rand.25	2	8	0.25
Admed_SARS2_2020	rand.26	rand.27	0	10	0
Admed_SARS2_2020	rand.26	rand.22	0	10	0
Admed_SARS2_2020	rand.26	rand.59	0	10	0
Admed_SARS2_2020	rand.26	rand.58	0	10	0
Admed_SARS2_2020	rand.26	rand.7	2	8	0.25
Admed_SARS2_2020	rand.26	rand.54	2	8	0.25
Admed_SARS2_2020	rand.26	rand.4	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.10	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.86	0	10	0
Admed_SARS2_2020	rand.26	rand.12	0	10	0
Admed_SARS2_2020	rand.26	rand.94	0	10	0
Admed_SARS2_2020	rand.26	rand.17	0	10	0
Admed_SARS2_2020	rand.26	rand.99	0	10	0
Admed_SARS2_2020	rand.26	rand.98	0	10	0
Admed_SARS2_2020	rand.26	rand.8	0	10	0
Admed_SARS2_2020	rand.26	rand.15	0	10	0
Admed_SARS2_2020	rand.26	rand.46	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.11	0	10	0
Admed_SARS2_2020	rand.26	rand.13	0	10	0
Admed_SARS2_2020	rand.26	rand.100	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.76	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.63	0	10	0
Admed_SARS2_2020	rand.26	rand.61	2	8	0.25
Admed_SARS2_2020	rand.26	rand.49	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.20	0	10	0
Admed_SARS2_2020	rand.26	rand.48	0	10	0
Admed_SARS2_2020	rand.26	rand.33	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.31	0	10	0
Admed_SARS2_2020	rand.26	rand.44	0	10	0
Admed_SARS2_2020	rand.26	rand.65	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.32	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.67	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.62	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.37	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.96	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.35	2	8	0.25
Admed_SARS2_2020	rand.26	rand.78	2	8	0.25
Admed_SARS2_2020	rand.26	rand.79	0	10	0
Admed_SARS2_2020	rand.26	rand.74	0	10	0
Admed_SARS2_2020	rand.26	rand.5	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.73	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.71	2	8	0.25
Admed_SARS2_2020	rand.26	rand.77	0	10	0
Admed_SARS2_2020	rand.26	rand.75	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.72	0	10	0
Admed_SARS2_2020	rand.26	rand.64	0	10	0
Admed_SARS2_2020	rand.26	rand.69	0	10	0
Admed_SARS2_2020	rand.26	rand.80	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.68	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.39	2	8	0.25
Admed_SARS2_2020	rand.26	rand.16	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.38	0	10	0
Admed_SARS2_2020	rand.26	rand.41	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.43	0	10	0
Admed_SARS2_2020	rand.26	rand.34	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.42	0	10	0
Admed_SARS2_2020	rand.26	rand.47	0	10	0
Admed_SARS2_2020	rand.26	rand.45	0	10	0
Admed_SARS2_2020	rand.26	rand.50	2	8	0.25
Admed_SARS2_2020	rand.26	rand.2	0	10	0
Admed_SARS2_2020	rand.26	rand.93	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.91	0	10	0
Admed_SARS2_2020	rand.26	rand.92	0	10	0
Admed_SARS2_2020	rand.26	rand.66	0	10	0
Admed_SARS2_2020	rand.26	rand.36	0	10	0
Admed_SARS2_2020	rand.26	rand.19	0	10	0
Admed_SARS2_2020	rand.26	rand.18	0	10	0
Admed_SARS2_2020	rand.26	rand.95	1	9	0.111111111111111
Admed_SARS2_2020	rand.26	rand.97	0	10	0
Admed_SARS2_2020	rand.26	rand.14	0	10	0
Admed_SARS2_2020	rand.53	rand.51	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.57	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.55	0	10	0
Admed_SARS2_2020	rand.53	rand.52	0	10	0
Admed_SARS2_2020	rand.53	rand.24	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.28	0	10	0
Admed_SARS2_2020	rand.53	rand.40	0	10	0
Admed_SARS2_2020	rand.53	rand.29	0	10	0
Admed_SARS2_2020	rand.53	rand.83	0	10	0
Admed_SARS2_2020	rand.53	rand.81	0	10	0
Admed_SARS2_2020	rand.53	rand.82	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.87	0	10	0
Admed_SARS2_2020	rand.53	rand.85	0	10	0
Admed_SARS2_2020	rand.53	rand.1	0	10	0
Admed_SARS2_2020	rand.53	rand.70	2	8	0.25
Admed_SARS2_2020	rand.53	rand.56	0	10	0
Admed_SARS2_2020	rand.53	rand.21	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.23	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.30	0	10	0
Admed_SARS2_2020	rand.53	rand.60	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.89	0	10	0
Admed_SARS2_2020	rand.53	rand.88	0	10	0
Admed_SARS2_2020	rand.53	rand.9	2	8	0.25
Admed_SARS2_2020	rand.53	rand.84	0	10	0
Admed_SARS2_2020	rand.53	rand.25	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.27	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.22	0	10	0
Admed_SARS2_2020	rand.53	rand.59	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.58	0	10	0
Admed_SARS2_2020	rand.53	rand.7	0	10	0
Admed_SARS2_2020	rand.53	rand.54	0	10	0
Admed_SARS2_2020	rand.53	rand.4	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.10	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.86	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.12	0	10	0
Admed_SARS2_2020	rand.53	rand.94	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.17	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.99	0	10	0
Admed_SARS2_2020	rand.53	rand.98	0	10	0
Admed_SARS2_2020	rand.53	rand.8	0	10	0
Admed_SARS2_2020	rand.53	rand.15	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.46	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.11	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.13	2	8	0.25
Admed_SARS2_2020	rand.53	rand.100	0	10	0
Admed_SARS2_2020	rand.53	rand.76	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.63	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.61	0	10	0
Admed_SARS2_2020	rand.53	rand.49	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.20	0	10	0
Admed_SARS2_2020	rand.53	rand.48	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.33	2	8	0.25
Admed_SARS2_2020	rand.53	rand.31	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.44	0	10	0
Admed_SARS2_2020	rand.53	rand.65	0	10	0
Admed_SARS2_2020	rand.53	rand.32	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.67	0	10	0
Admed_SARS2_2020	rand.53	rand.62	0	10	0
Admed_SARS2_2020	rand.53	rand.37	2	8	0.25
Admed_SARS2_2020	rand.53	rand.96	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.35	2	8	0.25
Admed_SARS2_2020	rand.53	rand.78	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.79	1	9	0.111111111111111
Admed_SARS2_2020	rand.53	rand.74	0	10	0
Admed_SARS2_2020	rand.53	rand.5	0	10	0
Admed_SARS2_2020	rand.53	rand.73	0	10	0
Admed_SARS2_2020	rand.53	rand.71	1	9	0.111111111111111
